كود المنتج (SKU),اسم المنتج التجاري,اسم المنتج بالمتجر,الوصف القصير,الوصف التفصيلي,الفئة,الفئة الفرعية,سعر الجملة,سعر البيع,السعر قبل الخصم,نسبة الخصم %,هامش الربح,الكمية المتاحة,حد التنبيه,الوزن (جرام),رابط الصورة الرئيسية,روابط صور إضافية,كود المورد,حالة المنتج,تاريخ الإضافة,الكلمات المفتاحية (SEO)
BD-002,Versatile Silicone Cupping,كاسات مساج سيليكون للجسم,مجموعة كاسات تدليك سيليكون فعالة في محاربة السيلوليت وشد ترهلات الجسم للحصول على قوام متناسق.,,العناية بالجسم,,,365,550,33,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/BD-002.jpg,,محمود,متاح,2026-08-01,
HR-005,Kemei KM-1910,ماكينة حلاقة وتشذيب كيمي KM-1910,ماكينة حلاقة رجالية متعددة الاستخدامات لتشذيب اللحية والجسم، تأتي مع أمشاط درجات مختلفة وتعمل شحناً بـ USB.,,العناية بالشعر,,,250,352,28,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/HR-005.jpg,,محمود,متاح,2026-08-01,
SK-010,Geneo Oxygenation pods,جهاز تقشير وتغذية البشرة مع كبسولات,جهاز متطور لتقشير البشرة بالأكسجين وتغذيتها، يأتي مع كبسولات متنوعة لتلبية جميع احتياجات العناية بالبشرة.,,العناية بالبشرة,,,2250,3300,31,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-010.jpg,,محمود,متاح,2026-08-01,
SK-011,Hot & Cool Facial Steamer,جهاز بخار الوجه الاحترافي,جهاز بخار للوجه مزود بحامل يوفر بخاراً ساخناً وبارداً، مثالي لتنظيف المسام وتجهيز البشرة للعناية في الصالونات أو المنزل.,,العناية بالبشرة,,,3100,4400,29,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-011.jpg,,محمود,متاح,2026-08-01,
RM-002,Flawless Hair Remover F-120,جهاز فلاوليس لإزالة الشعر,جهاز إزالة الشعر الصغير والمحمول، بتصميم يشبه أحمر الشفاه لإزالة شعر الوجه بلطف ودقة في أي وقت ومكان.,,إزالة الشعر,,,190,275,30,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/RM-002.jpg,,محمود,متاح,2026-08-01,
RM-003,Kemei 4 in 1 KM-3024,مجموعة إزالة الشعر 4 في 1 كيمي,ماكينة إزالة الشعر النسائية المتكاملة 4 في 1، تشمل رؤوساً متعددة للحلاقة وتشذيب الحواجب وإزالة شعر الأنف.,,إزالة الشعر,,,290,418,30,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/RM-003.jpg,,محمود,متاح,2026-08-01,
BD-003,Chest Massager KL-2022,جهاز تدليك الصدر KL-2022,حمالة صدر لتدليك الصدر وتنشيط الدورة الدموية مزودة بخاصية التدفئة، لتوفير الراحة والعناية المتكاملة.,,العناية بالجسم,,,625,880,28,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/BD-003.jpg,,محمود,متاح,2026-08-01,
SK-012,Super Micro Bubble D-Clean,جهاز تنظيف البشرة بالفقاعات الدقيقة,جهاز تنظيف وتقشير الوجه بالفقاعات المائية الدقيقة، يزيل الرؤوس السوداء ويمنح بشرتك ترطيباً ونظافة عميقة.,,العناية بالبشرة,,,550,825,33,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-012.jpg,,محمود,متاح,2026-08-01,
BD-004,Postpartum Abdomen Support,حزام شد البطن لما بعد الولادة,طقم أحزمة دعم وشد البطن لما بعد الولادة من 3 قطع، يساعد في استعادة شكل الجسم ودعم عضلات البطن بفعالية.,,العناية بالجسم,,,650,990,34,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/BD-004.jpg,,محمود,متاح,2026-08-01,
SK-013,Multifunctional HT-808,جهاز تنظيف مسام الوجه متعدد الوظائف,جهاز إزالة الرؤوس السوداء وشفط دهون البشرة HT-808، يأتي مع رؤوس متعددة لتنظيف البشرة بعمق والحفاظ على نقائها.,,العناية بالبشرة,,,325,495,34,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-013.jpg,,محمود,متاح,2026-08-01,
